ID,QID,Query Type,Query Name,Description,Trans,Video Filename,Second Start,Second End,Ans,Note,
131,23,tkis,query-tkis-23,"Bắt đầu bằng một người đang nấu ăn bên cạnh có bịch bột ngọt hiệu Miwon.
Sau đó là hình chụp người này đang phát một hộp cơm cho những người đứng ngoài cửa sổ. 
Cuối cùng là cảnh một người áo cam tiến lại gần camera đội nón bảo hộ màu vàng. 
Có một người mặc áo xanh hướng tới người này chào theo phong cách 'salute'. ","It starts with a person cooking next to a pack of MSG with the brandname Miwon.
Then there's a shot of this person handing out a lunch box to people standing outside the window.
Finally, there's a shot of a person in an orange shirt approaching the camera wearing a yellow hard hat.
There's a person in a blue shirt greeting this person in a 'salute' style.",L30_V091,202.16,223.8,,,
139,21,qa,query-qa-21,"Đây là đoạn ghi hình một buổi dạy nấu ăn, món ăn có tên gọi là ngưu bàng chiên tôm. Giáo viên dạy nấu ăn là hai người phụ nữ, một người trong trang phục đầu bếp màu trắng, người còn lại mặc áo sơ mi màu tím với chiếc tạp đề màu trắng. Trong cảnh quay có một đoạn liệt kê các nguyên liệu cần dùng cho món ăn, gồm có khoai tây, khoai lang, củ sắn, tôm, mực lá, hành, bột chiên giòn và xốt Mayonnaise. Các nguyên liệu được trộn vào cùng nhau, sau đó vo thành từng viên và chiên lên trong chảo dầu. Sau khi món ăn hoàn tất, các viên ngưu bàng được bày trí thành vòng tròn xung quanh một ít rau. Hỏi có bao nhiêu viên ngưu bàng trên đĩa sau khi bày trí xong?",,L26_V093,274,283.44,13,,query-qa-21 - Answer: 13
151,24,tkis,query-tkis-24,"Đoạn video một người đàn ông với gian hàng tò he.
Sau đó quay cận cảnh người này đang nặn một cục bột màu tím.
Đây là một cảnh trong chương trình lễ hội về làng nghề truyền thống diễn ra tại thành phố Hồ Chí Minh","The video shows a man with a tò he (toy figurine) stall.
Then, there's a close-up of him sculpting a purple dough.
This is a scene from a festival program about traditional handicrafts taking place in Ho Chi Minh City",L05_V002,427,434,,Đoạn preview 0:37. Lấy từ 7:06,
152,25,tkis,query-tkis-25,"Nhiều người đang ngồi trên ghế xếp theo một chiều dọc, mỗi người cách nhau khoảng 2 mét.
Những người này đang may/đan một món đồ trên tay.
Phần nội dung của video trong khung hình dọc.","Many people are sitting on chairs arranged in a vertical line, with each two persons about 2 meters apart.
They are sewing/knitting something by hand.
The video content is presented in a vertical frame.",L02_V021,577,630,,Ok,
132,27,tkis,query-tkis-27,"Một người mang đôi dép trắng, đang cân thứ gì đó. Chiếc cân cuối cùng ổn định ở sấp sỉ 13.5kg. 
Tiếp theo là một khung cảnh khu chợ, hầu hết mọi người đang ngồi và có một người đang đứng cầm microphone trên tay. 
Sau đó người này ngồi xuống phỏng vấn một người gần đó. 
Ở phía sau bên tay phải có một người đang cầm camera quay lại khung cảnh xung quanh.","A person wearing white slippers, weighing something. The scale finally settles at approximately 13.5kg.
Next is a market scene, most of the people are sitting, and a person is standing with a microphone in his hand.
Then this person sits down to interview someone nearby.
In the back right hand side there is a person holding a camera filming the surrounding scene.",L29_V008,553.36,636.6,,Lấy từ bound trái do không có bound phải,
143,16,qa,query-qa-16,"Câu hỏi: Một trong những phân cảnh giữa bản tin có hình ảnh 6 màn hình thể hiện các số liệu thống kê, hỏi tổng số lượng ô màu đỏ chỉ chứa duy nhất số 2 là bao nhiêu? Mô tả: Đoạn tin đưa thông tin về việc tỉ lệ rút tiền tại các cây ATM giảm xuống mức kỷ lục do người dùng có thói quen thanh toán không dùng tiền mặt. 
Câu hỏi: Một trong những phân cảnh giữa bản tin có hình ảnh 6 màn hình thể hiện các số liệu thống kê, hỏi tổng số lượng ô màu đỏ chỉ chứa duy nhất số 2 là bao nhiêu? Mô tả: Trong đoạn tin có nhiều hình ảnh những trụ ATM. 
Câu hỏi: Một trong những phân cảnh giữa bản tin có hình ảnh 6 màn hình thể hiện các số liệu thống kê, hỏi tổng số lượng ô màu đỏ chỉ chứa duy nhất số 2 là bao nhiêu? Mô tả: Ở phân cảnh cuối cùng có một người đang sử dụng điện thoại để quét mã QR thanh toán. ","Question: One of the scenes in the middle of the news has an image of 6 screens displaying statistics, asking what is the total number of red boxes containing only the number 2? Description: The news reports information about the withdrawal rate at ATMs falling to a record level due to users' habit of paying without cash. 
Question: One of the scenes in the middle of the news has an image of 6 screens showing statistics, asking what is the total number of red boxes containing only the number 2? Description: In the news there are many pictures of ATMs. 
Question: One of the scenes in the middle of the news has an image of 6 screens showing statistics, asking what is the total number of red boxes containing only the number 2? Description: In the last scene, there is a person using a phone to scan a payment QR code.",L09_V003,444,522,4,,query-qa-16 - Answer: 4
140,3,tkis,query-tkis-3,"Bản tin đưa thông tin về một sự kiện diễn ra phía trước Nhà hát Thành phố. 
Một trong những phân cảnh đầu tiên trong bản tin là những người đánh trống trên sân khấu. 
Các phân cảnh tiếp theo là hình ảnh nhiều người với đồng phục đang thực hiện các màn biểu diễn. 
Một trong những màn biểu diễn có tên gọi là Ssireum. Trong phân cảnh đó, những vận động viên trình diễn võ thuật phía trước một backdrop có hình ảnh giới thiệu về bộ môn này.","The news reported on an event taking place in front of the City Theater. 
One of the first shots in the news was of drummers on stage. 
The next shots were of people in uniform performing various acts. 
One of the acts was called Ssireum. In the shot, athletes performed martial arts in front of a backdrop with an image introducing the sport.",L05_V016,152,235,,Lễ Ok,
141,4,tkis,query-tkis-4,"Đoạn đưa tin về việc các doanh nghiệp tại TP. HCM nỗ lực đồng hành cùng người lao động. 
Trong đoạn tin, có phân cảnh các công nhân sắp xếp các thùng bánh hỏi từ một băng chuyền. 
Phân cảnh tiếp theo sau đó là hình ảnh nhiều công nhân sắp xếp bánh hỏi vào các khay nhựa màu xanh lá. 
Những phân cảnh cuối cùng là hình ảnh sân khấu với nhiều người là đại diện các doanh nghiệp được trao hoa và bằng khen.","The news reports on businesses in Ho Chi Minh City making efforts to stand with workers. 
The scene shows workers arranging boxes of rice vermicelli from a conveyor belt. 
The scene shows workers arranging rice vermicelli on green plastic trays. 
The final scenes show a stage with many business representatives receiving flowers and certificates of merit.",L01_V017,197,275,,,
147,11,vkis,query-vkis-11,Video KIS. Du lịch VN,,L06_V028,76,83,,,
148,12,vkis,query-vkis-12,Video KIS. TP.HCM,,L04_V027,430,443,,,
149,13,vkis,query-vkis-13,Video KIS. Ẩm thực VN,,L03_V010,139,148,,,
150,14,vkis,query-vkis-14,Video KIS. Triển lãm nghệ thuật,,L09_V025,1111,1122,,,
142,5,tkis,query-tkis-5,"Đoạn ghi hình sự độc đáo của kinh lá buông của đồng bào Khmer. 
Trong phân cảnh có hình ảnh một vị sư đang ngồi viết kinh lên lá buông. 
Trong căn phòng có một cái cây, một chiếc bàn gỗ và hai cái ghế gỗ. 
Phía sau vị sư là một cửa sổ màu xanh nước biển. ","This is the news about the uniqueness of the Khmer people's palm-leaf sutras. 
In the scene, there is a monk sitting and writing sutras on palm leaves. 
In the room, there is a tree, a wooden table and two wooden chairs. 
Behind the monk is a blue window.",L08_V028,369,443,,Lễ OK,
133,6,tkis,query-tkis-6,"Một người đang nắm 2 thanh gỗ nhỏ. 2 thanh gỗ này được cột ở 2 đầu của một sợi dây. Sợi dây đen này quấn quanh 1 thanh gỗ dài. 
Người này kéo tới kéo lui để thanh gỗ dài xoay tròn để khuấy đều một dung dịch ở trong thau. Dung dịch này màu nâu. 
Thanh gỗ này được cố định bằng cách xuyên qua 2 lỗ tròn của một cái khung. Bên cạnh có một người đứng xem và phỏng vấn.","A person is holding two small wooden sticks. These two wooden sticks are tied at the two ends of a string. This black string is wrapped around a long wooden stick.
This person pulls back and forth to make the long wooden stick rotate to stir a solution in a basin. This solution is brown.
This wooden stick is fixed by passing through two round holes in a frame. Next to it is a person standing watching and interviewing.",L28_V010,834.52,888.76,,Thêm L28_V009 ,
153,26,vkis,query-vkis-26,Video KIS. Dưới biển Vịnh Nha Trang.,,L16_V014,152,163,,L17_V007 chỉ có 1 cảnh giống khoảng 1s,
154,15,vkis,query-vkis-15,Video KIS. Bánh bằng vải nỉ,,L02_V028,626,641,,,
155,28,vkis,query-vkis-28,Video KIS. Du lịch đường sông. Buýt đường sông 2 tầng.,,L06_V008,325,343,,,
157,30,vkis,query-vkis-30,Video KIS. Cầu an ở xã đảoThạnh An,,L04_V029,370,390,,,
158,31,vkis,query-vkis-31,Video KIS. Khu công nghệ cao,,L04_V012,145,159,,,
159,32,vkis,query-vkis-32,Video KIS. Đồ chơi giáng sinh,,L03_V010,1055,1068,,Cập nhật gt đến 17:58 do video cắt bị dư so với ban đầu,
160,33,vkis,query-vkis-33,Video KIS. Đua xe đạp,,L13_V010,1136,1150,,L14_V001 chỉ có 1 cảnh giống. Nhiều đội nộp sai,
161,34,vkis,query-vkis-34,Video KIS. Lọc dầu bằng tóc,,L17_V005,804,824,,,
134,7,tkis,query-tkis-7,"Một người đang rưới sốt lên một con cá lóc chiên trên dĩa. Món cá chiên này được người này cuốn lại với bánh tráng kèm rau xanh. 
Cuối cùng, người này rót một ly mật dâu vào một chiếc ly nhỏ để thưởng thức. 
Người này chia sẻ là uống mật dâu sẽ mang lại cảm giác ấm ấm ở bụng.","A person is pouring sauce over a fried snakehead fish on a plate. This fried fish is wrapped in rice paper with green vegetables.
Finally, this person pours a glass of strawberry honey into a small glass to enjoy.
This person shares that drinking strawberry honey will bring a warm feeling in the stomach.",L27_V011,466.28,517.24,,Chỉnh bound trái ,
135,8,tkis,query-tkis-8,"Một người đang đổ bột vào chảo để làm những chiếc bánh. Cái chảo này màu đen hình chữ nhật. 
Sau đó trang trí chiếc bánh trên dĩa, người này đặt các lát trái cây mỏng lên chiếc bánh. 
Tiếp theo, người này rắc đậu phộng lên và lặp lại quá trình này nhiều lần để tạo được một chiếc bánh nhiều lớp. 
Cảnh cuối cho đoạn này là đặt một cục kem lên trên cùng để hoàn thành món ăn.","""A person is pouring batter into a pan to make cakes. This pan is black and rectangular.
Then, decorating the cake on a plate, this person places thin slices of fruit on the cake.
Next, this person sprinkles peanuts on it and repeats this process several times to create a layered cake.
The final shot for this segment is to place a dollop of ice cream on top to complete the dish.""",L26_V243,191.52,259.64,,Chỉnh bound phải,
